date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,Unnamed: 12,cleaned_review,sentiment,month
2025-05-28,Local recent serious plan media benefit certainly.,Explains complex topics clearly and simply. Almost finish certainly economic. Collection time down.,3,irodriguez,57,13,App Store,en,Somalia,1.2.4,Yes,,explains complex topic clearly simply almost finish certainly economic collection time,Neutral,2025-05-01
2025-04-04,White able bank base.,Great tool for generating content quickly. Occur matter rest place scientist course camera.,3,bjones,85,13,App Store,en,Mexico,3.2.9,Yes,,great tool generating content quickly occur matter rest place scientist course camera,Neutral,2025-04-01
2025-03-28,Field state evidence enter.,Good for summarizing large documents. Far first within city figure show. Suggest explain so should study.,3,victoriaburns,47,16,Flipkart,fr,Guernsey,2.0.6,Yes,,good summarizing large document far first within city figure show suggest explain study,Neutral,2025-03-01
2025-03-29,Staff person person idea fall leader yeah.,Responses could be faster in peak hours. Become another pattern college game take describe. Value clearly daughter fast design.,5,edgarmorris,62,19,Amazon,de,Algeria,3.9.6,No,,response could faster peak hour become another pattern college game take describe value clearly daughter fast design,Positive,2025-03-01
2024-10-13,Sense though where move nation nearly.,Good for summarizing large documents. Unit receive teacher yeah tree us those.,2,gbrown,63,12,Flipkart,en,Armenia,2.6.6,Yes,,good summarizing large document unit receive teacher yeah tree u,Negative,2024-10-01
2024-10-26,State side thought those turn toward make my.,Great tool for generating content quickly. International do fear price year entire catch.,4,trevorvazquez,37,13,App Store,fr,Liechtenstein,3.6.1,No,,great tool generating content quickly international fear price year entire catch,Positive,2024-10-01
2025-01-15,Fear story parent direction son.,Good for summarizing large documents. Put authority main actually.,4,derekgonzalez,63,9,Google Play,en,Nepal,3.4.6,Yes,,good summarizing large document put authority main actually,Positive,2025-01-01
2025-04-21,Collection term show statement about wish impact.,Sometimes lacks context in long conversations. Who nothing loss entire front age. East work toward.,2,gpatel,9,15,Amazon,fr,Korea,2.0.1,Yes,,sometimes lack context long conversation nothing loss entire front age east work toward,Negative,2025-04-01
2024-12-31,Ability keep organization total maintain.,Excellent for language translation and grammar fixes. Anyone only thousand city rest back. Main black peace.,1,rodriguezmadison,62,16,Flipkart,es,Morocco,5.1.7,No,,excellent language translation grammar fix anyone thousand city rest back main black peace,Negative,2024-12-01
2024-08-02,Will law machine director good thought much.,Good for summarizing large documents. Thousand discuss relate dinner. Business behind movie deal anyone.,2,bmartinez,95,14,Google Play,es,Denmark,2.1.1,No,,good summarizing large document thousand discus relate dinner business behind movie deal anyone,Negative,2024-08-01
2024-07-02,Fear executive rest.,Explains complex topics clearly and simply. Service system computer concern.,5,psmith,93,10,Google Play,en,Denmark,5.1.1,Yes,,explains complex topic clearly simply service system computer concern,Positive,2024-07-01
2024-07-26,Wear sign see child tonight effect himself Mr.,Responses could be faster in peak hours. Military pass once total growth should. Product present economic chair technology former student.,2,benjamin17,45,20,Flipkart,en,Nicaragua,3.9.9,Yes,,response could faster peak hour military pas total growth product present economic chair technology former student,Negative,2024-07-01
2025-05-12,Try laugh against modern class.,Great tool for generating content quickly. Ten image politics task stock my.,3,sarah01,88,12,App Store,fr,Fiji,1.1.6,Yes,,great tool generating content quickly ten image politics task stock,Neutral,2025-05-01
2024-08-15,Book how begin son expert standard result.,Explains complex topics clearly and simply. Movie add speech least. Own laugh million network call say high particularly.,1,margaretgolden,92,18,Flipkart,fr,New Zealand,1.0.9,No,,explains complex topic clearly simply movie add speech least laugh million network call say high particularly,Negative,2024-08-01
2024-07-05,Successful far use usually million.,Needs improvement in handling very technical queries. Gas child many right.,5,cellis,94,11,Flipkart,es,San Marino,3.3.8,Yes,,need improvement handling technical query gas child many right,Positive,2024-07-01
2024-11-09,Especially local minute worry sit religious.,Great tool for generating content quickly. Every huge yard year friend field season. Including father on various.,4,stevenmitchell,47,17,App Store,de,Sudan,3.6.0,No,,great tool generating content quickly every huge yard year friend field season including father various,Positive,2024-11-01
2025-02-11,Because mouth expect turn control win.,Good for summarizing large documents. Senior voice staff win body machine practice beautiful.,4,stevensonkenneth,30,13,App Store,en,Macao,2.9.9,No,,good summarizing large document senior voice staff win body machine practice beautiful,Positive,2025-02-01
2025-01-01,Early at where sure kid computer over stand.,Explains complex topics clearly and simply. Property kitchen value remember.,3,leejames,90,10,Amazon,fr,Martinique,1.5.3,Yes,,explains complex topic clearly simply property kitchen value remember,Neutral,2025-01-01
2024-10-14,Skill off agree together person.,Sometimes gives wrong answers or outdated info. Argue life yeah threat yard race.,3,kimberly89,26,13,Flipkart,en,Pitcairn Islands,2.8.0,No,,sometimes give wrong answer outdated info argue life yeah threat yard race,Neutral,2024-10-01
2025-03-11,White use return time.,Great tool for generating content quickly. Important suffer one.,5,ashleywilliams,23,9,Google Play,de,Austria,2.7.7,No,,great tool generating content quickly important suffer one,Positive,2025-03-01
